"Seller Gstin","Invoice Number","Invoice Date","Transaction Type","Order Id","Shipment Id","Shipment Date","Order Date","Shipment Item Id",Quantity,"Item Description",Asin,Hsn/sac,Sku,"Product Tax Code","Bill From City","Bill From State","Bill From Country","Bill From Postal Code","Ship From City","Ship From State","Ship From Country","Ship From Postal Code","Ship To City","Ship To State","Ship To Country","Ship To Postal Code","Invoice Amount","Tax Exclusive Gross","Total Tax Amount","Cgst Rate","Sgst Rate","Utgst Rate","Igst Rate","Compensatory Cess Rate","Principal Amount","Principal Amount Basis","Cgst Tax","Sgst Tax","Igst Tax","Utgst Tax","Compensatory Cess Tax","Shipping Amount","Shipping Amount Basis","Shipping Cgst Tax","Shipping Sgst Tax","Shipping Utgst Tax","Shipping Igst Tax","Shipping Cess Tax Amount","Gift Wrap Amount","Gift Wrap Amount Basis","Gift Wrap Cgst Tax","Gift Wrap Sgst Tax","Gift Wrap Utgst Tax","Gift Wrap Igst Tax","Gift Wrap Compensatory Cess Tax","Item Promo Discount","Item Promo Discount Basis","Item Promo Tax","Shipping Promo Discount","Shipping Promo Discount Basis","Shipping Promo Tax","Gift Wrap Promo Discount","Gift Wrap Promo Discount Basis","Gift Wrap Promo Tax","Tcs Cgst Rate","Tcs Cgst Amount","Tcs Sgst Rate","Tcs Sgst Amount","Tcs Utgst Rate","Tcs Utgst Amount","Tcs Igst Rate","Tcs Igst Amount","Warehouse Id","Fulfillment Channel","Payment Method Code","Credit Note No","Credit Note Date"
07TCRPS8655B1ZK,,"2026-04-13 23:18:23",Cancel,171-5738323-3337906,A09340671YMD2SLD81OLP,,,558827810172,1,,B0GPMZ8CPM,,2A-JJ92-P3PF,A_GEN_JEWELLERY,"South West Delhi",DELHI,IN,110043,"NEW DELHI",DELHI,IN,110043,KALADHUNGI,UTTARAKHAND,IN,263139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
07TCRPS8655B1ZK,IN-1,"2026-04-13 23:18:23",Shipment,171-5738323-3337906,A09340671YMD2SLD81OLP,"2026-04-15 12:34:00","2026-04-13 23:07:01",558827810172,1,"Emerald Green Beaded Silver Oxidised Jhumka Earrings for Women   Girls   Traditional Ethnic Jewellery",B0GPMZ8CPM,EXWD01,2A-JJ92-P3PF,A_GEN_JEWELLERY,"South West Delhi",DELHI,IN,110043,"NEW DELHI",DELHI,IN,110043,KALADHUNGI,UTTARAKHAND,IN,263139,199,193.2,5.8,0,0,0,0.03,0,199,193.2,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.97,,MFN,PayStation,,
07TCRPS8655B1ZK,IN-2,"2026-04-21 11:07:21",Shipment,171-1155825-3100365,A08834442G12BGM46FPEJ,"2026-04-22 12:24:35","2026-04-21 11:04:47",558996920166,1,"Oxidised Silver Afghani Earrings for Women   Girls   Big Boho Tribal Statement Earrings with Mirror Work   Dangling Beads ",B0G2TKQKJX,EXWD01,EXWD20,A_GEN_JEWELLERY,"South West Delhi",DELHI,IN,110043,"NEW DELHI",DELHI,IN,110043,NAGPUR,MAHARASHTRA,IN,440013,289,280.58,8.42,0,0,0,0.03,0,289,280.58,0,0,8.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,1.4,,MFN,COD,,
07TCRPS8655B1ZK,IN-3,"2026-04-30 13:59:49",Shipment,408-6341607-4208325,A10139463V4ZGHDIMUK3A,"2026-05-02 12:24:42","2026-04-30 13:46:38",560943716201,1,"Emerald Green Beaded Silver Oxidised Jhumka Earrings for Women   Girls   Traditional Ethnic Jewellery",B0GPMZ8CPM,EXWD01,2A-JJ92-P3PF,A_GEN_JEWELLERY,"South West Delhi",DELHI,IN,110043,"NEW DELHI",DELHI,IN,110043,Patna,BIHAR,IN,800001,199,193.2,5.8,0,0,0,0.03,0,199,193.2,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.97,,MFN,CC,,
